Tracing lock events... Hit Ctrl-C to end.

                                  Caller                                  Process        PID   Avg Spin  Count   Max spin Total spin
                    b'lookup_fast+0x281'                               b'systemd'          1        519   8622       6487    4483006
                b'inode_permission+0xe7'                         b'systemd-udevd'      15933       3661      2       6476       7323
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1670     28       6412      46760
                b'inode_permission+0xe7'                               b'systemd'          1        681   8682       6348    5917784
               b'ext4_evict_inode+0x30b'                               b'dockerd'       4655       1173   1268       6279    1487584
        b'cpu_cfs_period_write_u64+0x2e'                               b'systemd'          1        533   7982       6239    4257623
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1260     70       6238      88247
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1658     70       6224     116121
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1713     14       6137      23992
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1609     14       6027      22533
                 b'exec_mm_release+0x18'                       b'apache2.postins'      16646       3415    681       5956    2325972
                   b'__lookup_slow+0x92'                       b'systemd-gpt-aut'      16633        784    215       5797     168585
            b'__kernfs_create_file+0x7f'                               b'systemd'          1        820   1138       5740     933909
                       b'uart_open+0x1e'                       b'systemd-getty-g'      16631       1361     36       5673      49028
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1295     70       5609      90675
              b'kernfs_create_link+0x62'                               b'dockerd'       4655       2370     14       5575      33183
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1986     14       5531      27817
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1344     70       5511      94127
                           b'evict+0xd2'                               b'dockerd'       4655       1150   1202       5479    1382921
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655       1185     96       5423     113783
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655       1223    116       5374     141932
      b'i40e_clean_adminq_subtask+0x18e'                           b'kworker/0:2'        322       1816    844       5372    1532770
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1499     14       5318      20990
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1382     14       5239      19361
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1818     14       5231      25453
                b'inode_permission+0xe7'                         b'systemd-udevd'      15945       5181      1       5181       5181
                b'inode_permission+0xe7'                               b'systemd'          1        529  25866       5174   13692754
